text,label,prediction,cleaned_prediction
"spoiler--<br /><br />In 1993, African-American director/actor Mario Van Peebles followed up the tremendously popular urban-action film New Jack City with 'Posse'. The film was co-written and directed by Van Peebles, who also stars as the main character, Jessie Lee.<br /><br />Plot: The film begins at the turn of the 20th century, when the United States was embroiled in the Spanish-American war. Apparently a time when the U.S. justice system could send convicts into military service, Jessie Lee finds himself an unwilling enlisted man, serving with an all-black cavalry troop in Cuba. Some of his compatriots include Little J (Stephen Baldwin), fast-talking Weezie (Charles Lane) and the towering-but-simple Obobo (Tiny Lister). They find a hidden chest of gold on a reconnaissance run and decide to keep it. However, the ambitious, bigoted Colonel Graham (Zane) finds out about the gold, and is apparently willing to kill Jessie Lee and company for it. A shootout between the Graham's forces and Jessie Lee's leaves the colonel blind in one eye, and his forces retreat. Jessie Lee's ragtag crew manage to smuggle themselves (and the gold) back to New Orleans, but it turns out that Graham isn't far behind. Jessie Lee and his allies are forced to go on the run, heading west, to a town called Freemanville. Apparently, Freemanville was founded by blacks in the years following the Civil War. Jessie Lee's father, 'King David', was the charismatic preacher who co-founded the town. However, as is revealed in intermittent flashbacks, King David was soon brutally murdered by a white mob, in a parallel of the Ku Klux Klan terror campaigns that began around the same time. Jessie Lee and company eventually find their way to Freemanville, only to find that the townsfolk aren't exactly glad to see himespecially when Sheriff Bates (Richard Jordan) of a nearby white township makes it clear that he wants Jessie Lee and his partnersdead or alive. Carver (Blair Underwood) is the sheriff and de facto mayor of Freemanvilleand his own agenda may not square with having Jessie Lee around.<br /><br />Analysis The action sequences are all very credible, and Mario Van Peebles turns in a good performance as the brooding hero. In the aftermath of the success of New Jack City, it was almost expected Van Peebles would helm a sequel, or at least a similar urban-action follow-up. Instead, Van Peebles looked 100 years into the past, creating a mostly-black Western (effectively 'updating' the black-themed Westerns of the 1970's), and continuing the legacy of largely-forgotten black-themed cowboy films from the early 20th century. Unlike New Jack City, the film was independently financed, and originally released through Gramercy/Polygram Entertainment. Allegedly, execs at the major studios balked when Van Peebles pitched 'Posse' to them. Some of the more 'curious' casting at the time involved rappers Big Daddy Kane and Tone Loc as Father Time and Angel, respectively. In certain interviews, Mario Van Peebles has said that he often likes to cast against type; in the years since, the trend of casting rap singers in non-musical films would become almost commonplace. Keen viewers will notice several cameos by various entertainment personalities: Black-action film veterans like Isaac Hayes ('Truck Turner'), Pam Grier ('Foxy Brown') and Larry Cook ('The Spook who Sat by the Door') show up, as does stand-up legend Nipsey Russell, not to mention TV producer Stephen J. Cannell (who hired the junior Van Peebles to star in 'Sonny Spoon' years earlier). The film is bookended with Woody Strode ('Spartacus') in a key role.",0,neutral,neutral
"This program was on for a brief period when I was a kid, I remember watching it whilst eating fish and chips.<br /><br />Riding on the back of the Tron hype this series was much in the style of streethawk, manimal and the like, except more computery. There was a geeky kid who's computer somehow created this guy - automan. He'd go around solving crimes and the lot.<br /><br />All I really remember was his fancy car and the little flashy cursor thing that used to draw the car and help him out generally.<br /><br />When I mention it to anyone they can remember very little too. Was it real or maybe a dream?",0,neutral,neutral
"This movie was strange... I watched it while ingesting a quarter of psilcybe cubensis (mushrooms). It was really weird. Im pretty sure you are supposed to watch it high, but mushrooms weren't enough. I couldn't stop laughing.. maybe lsd would work. The movie is a bunch of things morphing into other things, and dancing. Its really cheesy for todays standards but when it was released im sure it was well... one of a kind. I could see how some people would think this movie was good, but I didn't think it was very interesting, and I was on mushrooms at the time. If your having a party or something and everybodys pretty lit, pop it on you'll get a few laughs.",1,Mixed,mixed
"From the writer of 'What Ever Happened to Baby Jane?' and 'Hush .. Hush, Sweet Charlotte,' this tail-end of the sixties horror cycle has some eerie and campy fun. Micheál Macliammóir does a Victor Buono-type bit, but too often the movie totters dangerously close to a bad musical ... there's a particularly awful children's recital about halfway through. Debbie taps, tangos and tricks up a lá Harlow, while Winters' religious fanatic has a lesbian edge to her. Agnes Moorehead checks in as an evangelist. Weaver has nothing to do - and even has to pay a gigolo to dance with Debbie.",0,Mixed,mixed
"This episode introduces us to the formal dress uniforms worn here by Captain Picard, Commander Riker, and Lieutenant Tasha Yar. The plot of this episode deals with 2 groups of separate alien delegates, The Anticans and the Selae who try to capture and eat each other at every turn. The 2 sides really hate each other, and it is up to Riker and Tasha to contain them and keep them out of trouble.<br /><br />Meanwhile a mysterious spacial anomaly goes around the ship injuring and killing a few of the crew members. But at the end of the episode this same spacial anomaly possesses a valuable member of the crowd. Will they be able to rescue him so that they maybe able to continue on with their on going mission of space exploration? <br /><br />Note: This episode marks Irish actor Colm Meaney's second appearance on TNG after 'Encounter at Farpoint.' He portrays one of Tasha's 'yellow-shirted' security guards.",0,neutral,neutral
"Brian De Palma's undeniable virtuosity can't really camouflage the fact that his plot here is a thinly disguised 'Psycho' carbon copy, but he does provide a genuinely terrifying climax. His 'Blow Out', made the next year, was an improvement.",0,Mixed,mixed
"Peak Practice was a British drama series about a GP surgery in Cardale  a small fictional town in the Derbyshire Peak District  and the doctors who worked there. It ran on ITV from 1993 to 2002, and was one of their most successful series at the time. It originally starred Kevin Whately as Dr Jack Kerruish, Amanda Burton as Dr Beth Glover, and Simon Shepherd as Dr Will Preston, though the roster of doctors would change many times over the course of the series.<br /><br />The series was axed in 2002 and ended on a literal cliffhanger when two of the series main characters plunged off a cliff. Viewers wrote to ITV in their thousands and a petition for one last episode was set up by website Peak Practice Online. However, all pleas were unsuccessful and ITV said they would not make any more episodes.<br /><br />Peak Practice was replaced by Sweet Medicine, another medical series set in Derbyshire. It lasted a few episodes before it was dropped from the schedules.<br /><br />Cardale was based on the Derbyshire village of Crich, and the series was filmed there and at other nearby Derbyshire towns and villages, most notably Matlock and Ashover. After the end of this programme, ITV attempted to launch a follow-up series called Sweet Medicine, which extended the stories of different characters from the original show.",0,neutral,neutral
"This scared the hell out of me when i was a teenager. Now I find it more amusing than scary, but with some pretty unsettling moments and with a kind of sleazy quality to it that I like. And, come to think of it, the plot is rather disgusting actually...but handled with some kind of taste. If there is a problem with this movie, it is that there are HUGE gaps where nothing exciting or interesting happens. Also, the ending goes on forever, making a potentially tense climax seem silly after a while with Barbara Bach screaming and screaming. The 'monster', after it is exposed, isn't very scary either unfortunately. The somewhat drab look of the movie also works against it, making it appear as a TV-movie more than something made for theaters. But it is an example of films that are rarely made nowadays so I urge horror fans to watch it and feel a bit nostalgic...",1,mixed,mixed
"I got this as a complete set of 9 episodes on 5 DVDs. I knew nothing about the history of the series. Season 1 of the series has the pilot episode as episode 1 and then 3 more episodes for a total of 4. Season 2 lists 5 episodes with the last being Beyond Good and Evil with an original Air Date of 7 December 1998. The other 4 episodes on season 2 were broadcast from December 1997 to Febrausry 1998. So Beyond Good and Evil looks like season 3 episode 1, except there are no more episodes in season 3.<br /><br />Spoilers here. The two main characters of the first 8 episodes, Dr. Iain McCallum (John Hannah) and Dr. Angela Moloney (Zara Turner), are missing from this episode being replaced by Dr. Dan Gallagher (Nathaniel Parker) and Dr. Charley Fielding (Eva Pope). I recognized Nathaniel Parker from the series The Inspector Lynley Mysteries, which began in 2001. So they were planning to have a season 3 but only one episode was broadcast.<br /><br />It seems odd to try to continue a series named after the main character, McCallum, when the main character is gone from the series. So they might have been planning a return of Dr. Iain McCallum, but when that failed the series was canceled. I have no inside information on this but I do see that both John Hannah and Nathaniel Parker were involved in other projects in 1999. Does anyone have any information on this?",0,neutral,neutral
"JUDAAI was a bold film by Raj Kanwar at it's time In 1997 when such a topic was damn out of the box<br /><br />To give him his credit he does succeed in showing how greed changes a person and to what extent the person can go to get what she wants<br /><br />The film however is damn melodramatic, many places ridiculous<br /><br />One wonders why Anil doesn't buy a TV for his wife? when he earns so much Just to show how poor he is?<br /><br />The twist is well handled but the handling is straight out of 80's The Johny- Paresh comedy which entertains here and there stands out as a sore thumb as it doesn't fit in the story<br /><br />Even there are several cringeworthy scenes<br /><br />Direction by Raj Kanwar is adequate though at times too melodramatic Music is okay but most songs look forced<br /><br />Anil does his part well Sridevi is excellent in her part Urmila is decent Amongst rest Kader Khan is as usual Johny Lever is funny, Paresh irritates Farida is decent",1,Mixed,mixed
"One piece of trivia that is often forgotten about this family film is one of business.<br /><br />At the time, in 1994, this movie held the record for the biggest movie premiere in motion picture history (and may continue to hold). It was held in Pittsburgh, Pennsylvania - no doubt in honor of the original film's 'Angels' who 'haunted' the Pittsburgh Pirates. In this remake they 'haunt' the California Angels.<br /><br />Anyway, the premiere was held at the long gone Three Rivers Stadium which was the home of the Pittsburgh Pirates and the Pittsburgh Steelers at the time (the Pirates are now housed in PNC Park and the Steelers at Heinz Field). The premiere was held on a movie screen that was five stories in height inside the stadium and held (and may even continue to hold) the record for the largest movie premiere in history, shown to 60,000 fans. Danny Glover, Tony Danza and Christopher Lloyd were all in attendance to the admiration of thousands of sports fans.",0,neutral,neutral
"I blind bought this movie and am pretty upset that I paid as much as I did but I would say that it's at least worth a rent for some cool deaths and laughable acting. It is not a good movie in any way but I must say that I was pretty darn entertained. I guess it could be called so-bad-it's-good.<br /><br />As I said, the acting is awful, I feel like I could have done a better job showing, at least, any emotion. The story is nothing new and has been done better. I guess I just have a soft spot for any carnival-esquire type film. I would say rent this or download it but definitely don't buy it. It is not worth more than one watch.",1,mixed,mixed
"Okay, so the previews to this film only tells you that a rebellious young girl goes to live with her grandmother for the summer in order to straighten out. That is actually not the case! It's about a young rebellious 17 year old girl who reveals a secret and it's up to her mother to believe if she's telling the truth or not.<br /><br />To be honest, I really enjoyed the concept of this movie. They had a really good plot and a really good theme of a love/hate relationship between mother and daughter. I did not however, enjoyed watching Lindsay Lohan's acting. In reality, this movie would have been GREAT if they had someone else, perhaps a better actress. The character of Rachel (Lohan) is a very sexually aggressive person and it sort of reminds us of the real Lindsay so it takes away a lot from the film.<br /><br />I do however, think that if you put Lindsay aside, you will enjoy this film. The ending is pretty great (and sad).",1,Mixed,mixed
"Cliche romance drama movie with very simple plot but very good cinematography and script.The screenplay,directing and acting was also good.The flow of the movie is kind of manipulative in order to bring the audience to tears through the excellent love music and circumstance which works but later on after the movie,makes one feel raped in a way.Jones makes her character very memorable and lovable though.A deeper story could have reaaly taken this movie to a higher level but still,the movie delivers for it's genre.Only for hopeless romantics,big love story fans,big soap drama fans,50's Cinemascope cinematography fans and fans of the lead actors.....",0,mixed,mixed
"The Sarah Silverman program is very similar to Sarah's own stand up; It's so over the top with prejudice that you can't possibly take it to heart. The fact is, though, that while most all people will 'get it,' it doesn't mean they will all appreciate it. It's a very polarizing and one dimensional show, so if you don't like it after 10 minutes, you may as well give up there. If you do like it after 10 minutes, stay tuned, because every episode thus far has been as good as the last.<br /><br />Like all shows, though, it is not perfect. Personally I love the program, but there are some huge faults with it. Racist songs are funny, but get older a lot faster than Silverman seems to realize--a problem that I had with 'Jesus is Magic' as well. It seems as if Silverman gave herself a quota for songs per episode that doesn't need to exist. Not to mention that while the lyrics to the songs she writes are good, the music, well, isn't.<br /><br />Another thing to keep in mind is that while this show will for some reason appeal to fans of Monty Python, Upright Citizens Brigade, etc., it is nothing like those shows. I can watch Monty Python all day, but, as much as I like this show, I can't watch more than the half hour limit at a time. It gets flat very fast. The repeat value for this show is low too--the second time around an episode is fairly funny, and by the third time, in my opinion, it's boring.<br /><br />Still, that first time around is very, very funny. Give it a shot.",0,Mixed,mixed
"Bette Davis turns in a coldly amusing performance as Mildred Rogers in this 1934 film. The film seems rather dated now in 2003. It is no doubt well worth watching for film buffs and Bette Davis fans but may not have as much appeal for the average movie watcher today. It was startling for me to see how young Ms. Davis looks in this move. The actors turn in performances which are basically sound and the story is meaningful and interesting. Leslie Howard is well cast as Philip Carey, the club-footed medical student. This is a film with a strong message about whom we choose to love and why. However, 'Of Human Bondage' didn't seem to have a strong impact on me mentally or emotionally. I felt slightly indifferent and detached about the movie after viewing it. I have an intuition that this may be the reaction that the director was going for. You be the judge!<br /><br />",0,mixed,mixed
"I'm surprised that no one yet has mentioned that there are two versions of this same film. The lion's share of the footage in both is identical, but here is where they differ: In one version (the version I have seen most often on broadcast TV), the group of clerics guarding the gateway consists of the 'Brotherhood of the Protectors', a (fictional) splinter group of priests and brothers 'excommunicated' by the Church. In the other version, which I've seen only once on TV, the clerics guarding the gateway are depicted as priests of the official Church, meaning the Archdiocese of New York (or perhaps Brooklyn). Also, in the former version, in most of the pertinent scenes, the clerics are referred to as 'brothers' (and in some scenes, you can see where the lips say 'Father' so-and-so but the dubbed audio says 'Brother' so-and-so. In the latter version, I believe everyone is referred to as 'Father'.<br /><br />In any event, it seems that one of these two versions is more or less a partial re-shooting of the other, with all 'Brotherhood of the Protector' scenes re-shot as 'Archdiocese' scenes, or vice versa. (Kind of reminds me of the Raymond Burr cutaway scenes in 'Godzilla'). I have videotaped both versions off broadcast TV, so no, I'm not imagining this. Can anyone shed some more light on the story behind these two versions of the film?",0,neutral,neutral
"In Cinema Retro magazine #2,it is revealed that Mark Lester's voice was actually dubbed by a 20 year old female, Kathe Green. Although Leste was considered perfect for the title role, director Carol Reed was not at all pleased with his singing abilities. The secret was revealed by on a 2004 UK documentary titled 'Oliver! After They Were Famous'. Greene was paid 400 pounds for her work and she had to agree to keep her participation secret, as did Mark Lester. They kept their word and only revealed this fact as part of the TV show decades after release of the film. For the record, Mark Lester retired from acting and is a practicing osteopath in England.",0,neutral,neutral
"****SPOILER ALERT**** All throughout Australia the summer turned into a deluge of rain and hail stones the size of baseballs that was causing havoc in coastal cities like Sydney. It's under these hectic conditions that tax lawyer David Burton, Richard Chamberlain,got involved in a case, as a defense attorney, involving the death of a local aborigine who was found dead outside a Sydney bar. <br /><br />Having five fellow aborigines arrested for Billy Cormans,Athol Compton, death it's determined by the police coroner that Billy died of drowning not by violence even though he had bruises on his neck and shoulders. Yet the court decided to prosecute the five for his death charging them with manslaughter instead of murder.<br /><br />David defending the five gets no help from them in their defense with the accused assailants opting to remain quite and keep what happened to Billy to themselves and take what's coming to them from the court. One of the defendants Chris, David Gulpili, begin to somehow invades David's dreams as if he want's to tell him what was really behind Billy's death.<br /><br />David at first not taking his dreams of Chris seriously begins to sense that their real when he meet him at the courthouse. Chris confirms David's dreams by showing him a strange looking black rock that David saw Chris have in his dreams. Later meeting Chris and, what turns out to be an aborigine shaman, Charlie (Nandjiwarna Amagula) who came to his house that evening David is told that he, like Charlie, has spiritual powers that he inherited from his mother's grandfather. Those powers will reveal to him the future that has to do with the strange weather conditions that are flooding the Australian continent. The earth,Chris tells David, is going through a gigantic cleansing cycle with the old world about to be washed away and the new world ready to take it's place.<br /><br />David is confused about what both Chris and Charlie are telling him but as the rains continue to increase and the ocean waves start to rise he feels that something terrible is going to happen. David want's to know if it's all aborigine folklore or there's some scientific facts, or logic, behind their end of world-like revelations.<br /><br />By now it's obvious that both Chris and Charlie are members of an aborigine tribe right in the heart of modern Sydney. That alone can get Chris off, as well as his four friends, for the murder of Billy. Since the Australian government will not prosecute tribal aborigines, leaving any justice to be done by the tribes themselves. Still Chris refuses to admit he's a member of a native tribe and he and his four friends are convicted of manslaughter in Billy's death with the sentences to be handed down by the judge within days.<br /><br />David now determined to find out what was the reason for Chris' silence, and why Billy had to die, is taken by Chris to the scene of the crime. It's there that David finds out that Billy betrayed Chris' tribe members by going there with Billy not being a member of Chris's aborigine tribe. It's also revealed to David that he himself has some kind of spiritual connection with the Austrailan aborigines as both Charlie and his step-father Rev. Burton,David Parslow, told him. <br /><br />The stage is now set for the great and final cleansing cycle that David's been seeing in both his night-time dreams and day-time visions. It comes in the form of a massive tidal wave rolling out of the Pacific Ocean into the Australian coast city of Sydney and then submerges the entire continent.",0,neutral,neutral
"I went to see this thinking it would be a great comedy and a comeback for Robin Williams, but when I saw it I realized I had bee lied to by advertisers as this is more drama than comedy, although it has a few really good laughs in it. It felt like I was watching two movies. One was a funny romp with Robin Williams that should have been the whole basin for the movie anyway, but you also get a techno thriller movie with political angst in the middle. I really don't know how to classify this film. But I can tell you it was good and I did laugh, not as much as I had hoped, but at least Williams is back in the right direction. See this but know before going it is not all comedy and is a little intense.",0,Mixed,mixed
